id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,stoch_k,stoch_d,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
741629,GBPUSD,H6,2015-04-01 00:00:00+00,1.48230000,1.48704000,1.48191000,1.48609000,13655.00000000,1.48531350,1.48482100,1.51352845,1.48300982,1.48494416,1.48848431,51.22125288,64.28995841,51.82034665,0.00659215,1.49351948,1.48531350,1.47710752,-0.00193435,-0.00144183,-0.00049252,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741630,GBPUSD,H6,2015-04-01 06:00:00+00,1.48613000,1.48707000,1.47390000,1.47581000,23077.00000000,1.48463100,1.48477360,1.51341370,1.48348369,1.48502904,1.48839041,40.61368423,10.49450549,38.97053926,0.00648771,1.49358084,1.48463100,1.47568116,-0.00154535,-0.00146253,-0.00008282,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741631,GBPUSD,H6,2015-04-01 12:00:00+00,1.47579000,1.48457000,1.47568000,1.48216000,29791.00000000,1.48432550,1.48473020,1.51332320,1.48230312,1.48434615,1.48789706,47.80429406,45.38461538,40.05635976,0.00696502,1.49317417,1.48432550,1.47547683,-0.00204302,-0.00157863,-0.00046439,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741632,GBPUSD,H6,2015-04-01 18:00:00+00,1.48216000,1.48400000,1.48144000,1.48262000,12448.00000000,1.48400300,1.48473400,1.51323770,1.48228111,1.48418421,1.48767208,48.29272122,51.32430842,35.73447643,0.00710251,1.49260315,1.48400300,1.47540285,-0.00190311,-0.00164353,-0.00025958,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741633,GBPUSD,H6,2015-04-02 00:00:00+00,1.48262000,1.48400000,1.48164000,1.48322000,11888.00000000,1.48355150,1.48474320,1.51315005,1.48233324,1.48406834,1.48747396,48.96356816,57.78053317,51.49648566,0.00677805,1.49127596,1.48355150,1.47582704,-0.00173510,-0.00166184,-0.00007326,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741634,GBPUSD,H6,2015-04-02 06:00:00+00,1.48322000,1.48678000,1.47953000,1.47953000,20508.00000000,1.48319400,1.48479340,1.51300450,1.48246967,1.48400550,1.48730714,45.08917370,34.90390577,48.00291578,0.00646247,1.49096786,1.48319400,1.47542014,-0.00153584,-0.00163664,0.00010080,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741635,GBPUSD,H6,2015-04-02 12:00:00+00,1.47955000,1.48487000,1.47756000,1.48409000,29676.00000000,1.48316100,1.48499400,1.51288455,1.48201741,1.48367398,1.48700215,50.32071080,77.19696970,56.62713621,0.00651873,1.49091374,1.48316100,1.47540826,-0.00165657,-0.00164063,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741636,GBPUSD,H6,2015-04-02 18:00:00+00,1.48407000,1.48628000,1.48133000,1.48313000,14700.00000000,1.48303100,1.48516480,1.51275205,1.48233627,1.48370480,1.48688795,49.25674393,69.92424242,60.67503930,0.00657525,1.49069374,1.48303100,1.47536826,-0.00136853,-0.00158621,0.00021768,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741637,GBPUSD,H6,2015-04-03 00:00:00+00,1.48313000,1.48366000,1.48202000,1.48234000,9674.00000000,1.48274500,1.48528880,1.51262785,1.48245838,1.48366222,1.48674058,48.35075040,63.93939394,70.35353535,0.00645916,1.49005443,1.48274500,1.47543557,-0.00120384,-0.00150974,0.00030590,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
814672,GBPUSD,H3,2018-08-29 00:00:00+00,1.28710000,1.28711000,1.28590000,1.28620000,10282.00000000,1.28721850,1.28658480,1.29100745,1.28803592,1.28699504,1.28535925,48.11731627,33.07468477,37.43937924,0.00265177,1.29185314,1.28721850,1.28258386,0.00104089,0.00114854,-0.00010765,2026-02-06 13:11:05.778358+00,2026-02-08 12:11:31.536944+00,,,,
814673,GBPUSD,H3,2018-08-29 03:00:00+00,1.28619000,1.28693000,1.28551000,1.28692000,10660.00000000,1.28733850,1.28669100,1.29085580,1.28775347,1.28693615,1.28539222,50.13987984,34.25531915,36.34569481,0.00254879,1.29180881,1.28733850,1.28286819,0.00081733,0.00108230,-0.00026497,2026-02-06 13:11:05.778358+00,2026-02-08 12:11:31.536944+00,,,,
